route_id,date,ridership_count,_source
195W,2026-06-12,3880,synthetic
195W,2026-06-13,2704,synthetic
195W,2026-06-14,1319,synthetic
195W,2026-06-15,3644,synthetic
195W,2026-06-16,1313,synthetic
195W,2026-06-17,1477,synthetic
195W,2026-06-18,2590,synthetic
195W,2026-06-19,4210,synthetic
195W,2026-06-20,703,synthetic
195W,2026-06-21,1451,synthetic
195W,2026-06-22,3154,synthetic
195W,2026-06-23,1841,synthetic
195W,2026-06-24,4579,synthetic
195W,2026-06-25,2411,synthetic
195W,2026-06-26,1736,synthetic
195W,2026-06-27,1906,synthetic
195W,2026-06-28,1508,synthetic
195W,2026-06-29,4949,synthetic
195W,2026-06-30,1408,synthetic
49M,2026-06-01,1128,synthetic
49M,2026-06-02,3115,synthetic
49M,2026-06-03,2133,synthetic
49M,2026-06-04,3752,synthetic
49M,2026-06-05,3962,synthetic
49M,2026-06-06,2091,synthetic
49M,2026-06-07,3124,synthetic
49M,2026-06-08,2764,synthetic
49M,2026-06-09,3050,synthetic
49M,2026-06-10,3769,synthetic
49M,2026-06-11,2389,synthetic
49M,2026-06-12,3446,synthetic
49M,2026-06-13,1306,synthetic
49M,2026-06-14,2083,synthetic
49M,2026-06-15,4657,synthetic
49M,2026-06-16,1714,synthetic
49M,2026-06-17,4571,synthetic
49M,2026-06-18,3799,synthetic
49M,2026-06-19,3514,synthetic
49M,2026-06-20,2642,synthetic
49M,2026-06-21,2431,synthetic
49M,2026-06-22,3820,synthetic
49M,2026-06-23,1181,synthetic
49M,2026-06-24,4623,synthetic
49M,2026-06-25,1647,synthetic
49M,2026-06-26,1460,synthetic
49M,2026-06-27,2785,synthetic
49M,2026-06-28,1331,synthetic
49M,2026-06-29,2046,synthetic
49M,2026-06-30,2349,synthetic
277D,2026-06-01,2345,synthetic
277D,2026-06-02,1985,synthetic
277D,2026-06-03,1104,synthetic
277D,2026-06-04,2054,synthetic
277D,2026-06-05,4541,synthetic
277D,2026-06-06,2263,synthetic
277D,2026-06-07,1278,synthetic
277D,2026-06-08,2231,synthetic
277D,2026-06-09,2484,synthetic
277D,2026-06-10,2186,synthetic
277D,2026-06-11,3042,synthetic
277D,2026-06-12,5131,synthetic
277D,2026-06-13,1910,synthetic
277D,2026-06-14,2849,synthetic
277D,2026-06-15,1011,synthetic
277D,2026-06-16,2416,synthetic
277D,2026-06-17,4334,synthetic
277D,2026-06-18,1705,synthetic
277D,2026-06-19,786,synthetic
277D,2026-06-20,686,synthetic
277D,2026-06-21,1720,synthetic
277D,2026-06-22,4512,synthetic
277D,2026-06-23,4127,synthetic
277D,2026-06-24,2367,synthetic
277D,2026-06-25,3102,synthetic
277D,2026-06-26,3473,synthetic
277D,2026-06-27,498,synthetic
277D,2026-06-28,520,synthetic
277D,2026-06-29,4147,synthetic
277D,2026-06-30,3711,synthetic
10H,2026-06-01,4656,synthetic
10H,2026-06-02,2372,synthetic
10H,2026-06-03,3286,synthetic
10H,2026-06-04,1339,synthetic
10H,2026-06-05,3974,synthetic
10H,2026-06-06,2382,synthetic
10H,2026-06-07,2858,synthetic
10H,2026-06-08,4885,synthetic
10H,2026-06-09,2772,synthetic
10H,2026-06-10,3281,synthetic
10H,2026-06-11,1924,synthetic
10H,2026-06-12,3262,synthetic
10H,2026-06-13,1418,synthetic
10H,2026-06-14,1119,synthetic
10H,2026-06-15,3461,synthetic
10H,2026-06-16,2444,synthetic
10H,2026-06-17,1902,synthetic
10H,2026-06-18,1981,synthetic
10H,2026-06-19,4630,synthetic
10H,2026-06-20,988,synthetic
10H,2026-06-21,2860,synthetic
10H,2026-06-22,2604,synthetic
10H,2026-06-23,4941,synthetic
10H,2026-06-24,3551,synthetic
10H,2026-06-25,2136,synthetic
10H,2026-06-26,1437,synthetic
10H,2026-06-27,1934,synthetic
10H,2026-06-28,931,synthetic
10H,2026-06-29,2741,synthetic
10H,2026-06-30,1410,synthetic
47L,2026-06-01,1584,synthetic
47L,2026-06-02,3147,synthetic
47L,2026-06-03,1514,synthetic
47L,2026-06-04,4243,synthetic
47L,2026-06-05,2986,synthetic
47L,2026-06-06,1416,synthetic
47L,2026-06-07,2917,synthetic
47L,2026-06-08,1281,synthetic
47L,2026-06-09,4265,synthetic
47L,2026-06-10,3493,synthetic
47L,2026-06-11,4206,synthetic
47L,2026-06-12,3381,synthetic
47L,2026-06-13,1012,synthetic
47L,2026-06-14,1946,synthetic
47L,2026-06-15,1848,synthetic
47L,2026-06-16,1956,synthetic
47L,2026-06-17,2854,synthetic
47L,2026-06-18,3478,synthetic
47L,2026-06-19,2602,synthetic
47L,2026-06-20,2101,synthetic
47L,2026-06-21,1149,synthetic
47L,2026-06-22,2858,synthetic
47L,2026-06-23,4667,synthetic
47L,2026-06-24,3944,synthetic
47L,2026-06-25,3954,synthetic
47L,2026-06-26,2389,synthetic
47L,2026-06-27,2822,synthetic
47L,2026-06-28,1501,synthetic
47L,2026-06-29,4927,synthetic
47L,2026-06-30,2740,synthetic
555,2026-06-01,3048,synthetic
555,2026-06-02,4763,synthetic
555,2026-06-03,4840,synthetic
555,2026-06-04,2576,synthetic
555,2026-06-05,3880,synthetic
555,2026-06-06,2483,synthetic
555,2026-06-07,2129,synthetic
555,2026-06-08,4807,synthetic
555,2026-06-09,780,synthetic
555,2026-06-10,2292,synthetic
555,2026-06-11,4091,synthetic
555,2026-06-12,3522,synthetic
555,2026-06-13,801,synthetic
555,2026-06-14,835,synthetic
555,2026-06-15,2742,synthetic
555,2026-06-16,2625,synthetic
555,2026-06-17,1977,synthetic
555,2026-06-18,3416,synthetic
555,2026-06-19,3074,synthetic
555,2026-06-20,1151,synthetic
555,2026-06-21,1120,synthetic
555,2026-06-22,3911,synthetic
555,2026-06-23,2866,synthetic
555,2026-06-24,1053,synthetic
555,2026-06-25,5092,synthetic
555,2026-06-26,2220,synthetic
555,2026-06-27,547,synthetic
555,2026-06-28,1801,synthetic
555,2026-06-29,1911,synthetic
555,2026-06-30,3778,synthetic
300,2026-06-01,2230,synthetic
300,2026-06-02,4118,synthetic
300,2026-06-03,4265,synthetic
300,2026-06-04,3547,synthetic
300,2026-06-05,3739,synthetic
300,2026-06-06,674,synthetic
300,2026-06-07,1740,synthetic
300,2026-06-08,4391,synthetic
300,2026-06-09,4068,synthetic
300,2026-06-10,1166,synthetic
300,2026-06-11,3861,synthetic
300,2026-06-12,2582,synthetic
300,2026-06-13,2298,synthetic
300,2026-06-14,1309,synthetic
300,2026-06-15,1701,synthetic
300,2026-06-16,4024,synthetic
300,2026-06-17,3479,synthetic
300,2026-06-18,3742,synthetic
300,2026-06-19,3210,synthetic
300,2026-06-20,2613,synthetic
300,2026-06-21,732,synthetic
300,2026-06-22,2905,synthetic
300,2026-06-23,2434,synthetic
300,2026-06-24,3531,synthetic
300,2026-06-25,3445,synthetic
300,2026-06-26,2151,synthetic
300,2026-06-27,1480,synthetic
300,2026-06-28,2411,synthetic
300,2026-06-29,3290,synthetic
300,2026-06-30,4056,synthetic
290U,2026-06-01,3155,synthetic
290U,2026-06-02,4495,synthetic
290U,2026-06-03,1669,synthetic
290U,2026-06-04,1803,synthetic
290U,2026-06-05,3303,synthetic
290U,2026-06-06,732,synthetic
290U,2026-06-07,2600,synthetic
290U,2026-06-08,2095,synthetic
290U,2026-06-09,2781,synthetic
290U,2026-06-10,2462,synthetic
290U,2026-06-11,1722,synthetic
290U,2026-06-12,2235,synthetic
290U,2026-06-13,769,synthetic
290U,2026-06-14,1661,synthetic
290U,2026-06-15,4648,synthetic
290U,2026-06-16,1637,synthetic
290U,2026-06-17,2785,synthetic
290U,2026-06-18,4910,synthetic
290U,2026-06-19,4949,synthetic
290U,2026-06-20,2295,synthetic
290U,2026-06-21,743,synthetic
290U,2026-06-22,1523,synthetic
290U,2026-06-23,2111,synthetic
290U,2026-06-24,4378,synthetic
290U,2026-06-25,3020,synthetic
290U,2026-06-26,3459,synthetic
290U,2026-06-27,925,synthetic
290U,2026-06-28,952,synthetic
290U,2026-06-29,1019,synthetic
290U,2026-06-30,1377,synthetic
250C,2026-06-01,3201,synthetic
250C,2026-06-02,1029,synthetic
250C,2026-06-03,2896,synthetic
250C,2026-06-04,3799,synthetic
250C,2026-06-05,1893,synthetic
250C,2026-06-06,1960,synthetic
250C,2026-06-07,1068,synthetic
250C,2026-06-08,1379,synthetic
250C,2026-06-09,1728,synthetic
250C,2026-06-10,2795,synthetic
250C,2026-06-11,1315,synthetic
250C,2026-06-12,1391,synthetic
250C,2026-06-13,1515,synthetic
250C,2026-06-14,1147,synthetic
250C,2026-06-15,1523,synthetic
250C,2026-06-16,4969,synthetic
250C,2026-06-17,2134,synthetic
250C,2026-06-18,1357,synthetic
250C,2026-06-19,1506,synthetic
250C,2026-06-20,2308,synthetic
250C,2026-06-21,644,synthetic
250C,2026-06-22,3784,synthetic
250C,2026-06-23,4570,synthetic
250C,2026-06-24,2394,synthetic
250C,2026-06-25,4670,synthetic
250C,2026-06-26,4778,synthetic
250C,2026-06-27,2871,synthetic
250C,2026-06-28,2835,synthetic
250C,2026-06-29,2175,synthetic
250C,2026-06-30,1008,synthetic
216,2026-06-01,2493,synthetic
216,2026-06-02,1194,synthetic
216,2026-06-03,819,synthetic
216,2026-06-04,4975,synthetic
216,2026-06-05,4920,synthetic
216,2026-06-06,610,synthetic
216,2026-06-07,2200,synthetic
216,2026-06-08,1751,synthetic
216,2026-06-09,2109,synthetic
216,2026-06-10,1475,synthetic
216,2026-06-11,1993,synthetic
216,2026-06-12,2237,synthetic
216,2026-06-13,2122,synthetic
216,2026-06-14,2672,synthetic
216,2026-06-15,3422,synthetic
216,2026-06-16,3106,synthetic
216,2026-06-17,1532,synthetic
216,2026-06-18,4665,synthetic
216,2026-06-19,2423,synthetic
216,2026-06-20,1779,synthetic
216,2026-06-21,1034,synthetic
216,2026-06-22,4387,synthetic
216,2026-06-23,2185,synthetic
216,2026-06-24,2423,synthetic
216,2026-06-25,2890,synthetic
216,2026-06-26,1714,synthetic
216,2026-06-27,2188,synthetic
216,2026-06-28,2448,synthetic
216,2026-06-29,3646,synthetic
216,2026-06-30,1549,synthetic
218,2026-06-01,3186,synthetic
218,2026-06-02,1973,synthetic
218,2026-06-03,4724,synthetic
218,2026-06-04,867,synthetic
218,2026-06-05,2919,synthetic
218,2026-06-06,2284,synthetic
218,2026-06-07,1507,synthetic
218,2026-06-08,2798,synthetic
218,2026-06-09,4219,synthetic
218,2026-06-10,4686,synthetic
218,2026-06-11,2720,synthetic
218,2026-06-12,3442,synthetic
218,2026-06-13,2893,synthetic
218,2026-06-14,782,synthetic
218,2026-06-15,4705,synthetic
218,2026-06-16,1191,synthetic
218,2026-06-17,1909,synthetic
218,2026-06-18,4146,synthetic
218,2026-06-19,1164,synthetic
218,2026-06-20,2797,synthetic
218,2026-06-21,1919,synthetic
218,2026-06-22,3335,synthetic
218,2026-06-23,2186,synthetic
218,2026-06-24,4533,synthetic
218,2026-06-25,2967,synthetic
218,2026-06-26,1686,synthetic
218,2026-06-27,3023,synthetic
218,2026-06-28,1021,synthetic
218,2026-06-29,1812,synthetic
218,2026-06-30,3561,synthetic
299X,2026-06-01,3521,synthetic
299X,2026-06-02,3199,synthetic
299X,2026-06-03,4272,synthetic
299X,2026-06-04,1682,synthetic
299X,2026-06-05,2663,synthetic
299X,2026-06-06,2685,synthetic
299X,2026-06-07,2433,synthetic
299X,2026-06-08,2487,synthetic
299X,2026-06-09,3502,synthetic
299X,2026-06-10,1520,synthetic
299X,2026-06-11,3835,synthetic
299X,2026-06-12,4159,synthetic
299X,2026-06-13,1067,synthetic
299X,2026-06-14,980,synthetic
299X,2026-06-15,5044,synthetic
299X,2026-06-16,2319,synthetic
299X,2026-06-17,3586,synthetic
299X,2026-06-18,1621,synthetic
299X,2026-06-19,2638,synthetic
299X,2026-06-20,2393,synthetic
299X,2026-06-21,2077,synthetic
299X,2026-06-22,1375,synthetic
299X,2026-06-23,1969,synthetic
299X,2026-06-24,4603,synthetic
299X,2026-06-25,2967,synthetic
299X,2026-06-26,4011,synthetic
299X,2026-06-27,724,synthetic
299X,2026-06-28,1200,synthetic
299X,2026-06-29,3776,synthetic
299X,2026-06-30,2693,synthetic
281,2026-06-01,4720,synthetic
281,2026-06-02,3118,synthetic
281,2026-06-03,2590,synthetic
281,2026-06-04,2846,synthetic
281,2026-06-05,2228,synthetic
281,2026-06-06,1499,synthetic
281,2026-06-07,2523,synthetic
281,2026-06-08,3274,synthetic
281,2026-06-09,1744,synthetic
281,2026-06-10,999,synthetic
281,2026-06-11,4722,synthetic
281,2026-06-12,4331,synthetic
281,2026-06-13,1177,synthetic
281,2026-06-14,2832,synthetic
281,2026-06-15,3704,synthetic
281,2026-06-16,3989,synthetic
281,2026-06-17,2856,synthetic
281,2026-06-18,4673,synthetic
281,2026-06-19,3222,synthetic
281,2026-06-20,998,synthetic
281,2026-06-21,574,synthetic
281,2026-06-22,2036,synthetic
281,2026-06-23,1865,synthetic
281,2026-06-24,2175,synthetic
281,2026-06-25,2847,synthetic
281,2026-06-26,1902,synthetic
281,2026-06-27,807,synthetic
281,2026-06-28,2291,synthetic
281,2026-06-29,3664,synthetic
281,2026-06-30,3901,synthetic
279,2026-06-01,4391,synthetic
279,2026-06-02,3224,synthetic
279,2026-06-03,1259,synthetic
279,2026-06-04,3542,synthetic
279,2026-06-05,2517,synthetic
279,2026-06-06,2120,synthetic
279,2026-06-07,1815,synthetic
279,2026-06-08,1196,synthetic
279,2026-06-09,1018,synthetic
279,2026-06-10,5094,synthetic
279,2026-06-11,3509,synthetic
279,2026-06-12,1012,synthetic
279,2026-06-13,2269,synthetic
279,2026-06-14,2507,synthetic
279,2026-06-15,3859,synthetic
279,2026-06-16,1741,synthetic
279,2026-06-17,2084,synthetic
279,2026-06-18,3962,synthetic
279,2026-06-19,1702,synthetic
279,2026-06-20,2404,synthetic
279,2026-06-21,1210,synthetic
279,2026-06-22,847,synthetic
279,2026-06-23,1982,synthetic
279,2026-06-24,4474,synthetic
279,2026-06-25,2079,synthetic
279,2026-06-26,2507,synthetic
279,2026-06-27,2303,synthetic
279,2026-06-28,2305,synthetic
279,2026-06-29,2541,synthetic
279,2026-06-30,2454,synthetic
104A,2026-06-01,2746,synthetic
104A,2026-06-02,3461,synthetic
104A,2026-06-03,4380,synthetic
104A,2026-06-04,1343,synthetic
104A,2026-06-05,3801,synthetic
104A,2026-06-06,2053,synthetic
104A,2026-06-07,469,synthetic
104A,2026-06-08,4596,synthetic
104A,2026-06-09,1508,synthetic
104A,2026-06-10,1558,synthetic
104A,2026-06-11,3812,synthetic
104A,2026-06-12,2693,synthetic
104A,2026-06-13,1870,synthetic
104A,2026-06-14,1314,synthetic
104A,2026-06-15,2670,synthetic
104A,2026-06-16,3269,synthetic
104A,2026-06-17,3644,synthetic
104A,2026-06-18,2594,synthetic
104A,2026-06-19,1679,synthetic
104A,2026-06-20,2580,synthetic
104A,2026-06-21,2798,synthetic
104A,2026-06-22,3853,synthetic
104A,2026-06-23,4713,synthetic
104A,2026-06-24,2333,synthetic
104A,2026-06-25,4077,synthetic
104A,2026-06-26,3947,synthetic
104A,2026-06-27,2624,synthetic
104A,2026-06-28,796,synthetic
104A,2026-06-29,925,synthetic
104A,2026-06-30,1341,synthetic
8A,2026-06-01,2117,synthetic
8A,2026-06-02,4259,synthetic
8A,2026-06-03,4153,synthetic
8A,2026-06-04,930,synthetic
8A,2026-06-05,4508,synthetic
8A,2026-06-06,2110,synthetic
8A,2026-06-07,1110,synthetic
8A,2026-06-08,3631,synthetic
8A,2026-06-09,4838,synthetic
8A,2026-06-10,1347,synthetic
8A,2026-06-11,1157,synthetic
8A,2026-06-12,1810,synthetic
8A,2026-06-13,2781,synthetic
8A,2026-06-14,852,synthetic
8A,2026-06-15,1705,synthetic
8A,2026-06-16,2484,synthetic
8A,2026-06-17,2303,synthetic
8A,2026-06-18,4289,synthetic
8A,2026-06-19,4715,synthetic
8A,2026-06-20,1001,synthetic
8A,2026-06-21,999,synthetic
8A,2026-06-22,1856,synthetic
8A,2026-06-23,3751,synthetic
8A,2026-06-24,3024,synthetic
8A,2026-06-25,2667,synthetic
8A,2026-06-26,974,synthetic
8A,2026-06-27,3075,synthetic
8A,2026-06-28,2105,synthetic
8A,2026-06-29,2103,synthetic
8A,2026-06-30,2338,synthetic
219,2026-06-01,1969,synthetic
219,2026-06-02,4345,synthetic
219,2026-06-03,4736,synthetic
219,2026-06-04,3728,synthetic
219,2026-06-05,2545,synthetic
219,2026-06-06,3134,synthetic
219,2026-06-07,3057,synthetic
219,2026-06-08,4152,synthetic
219,2026-06-09,1125,synthetic
219,2026-06-10,2305,synthetic
219,2026-06-11,3746,synthetic
219,2026-06-12,3645,synthetic
219,2026-06-13,1068,synthetic
219,2026-06-14,2877,synthetic
219,2026-06-15,4523,synthetic
219,2026-06-16,1710,synthetic
219,2026-06-17,3997,synthetic
219,2026-06-18,1067,synthetic
219,2026-06-19,1698,synthetic
219,2026-06-20,777,synthetic
219,2026-06-21,2835,synthetic
219,2026-06-22,4530,synthetic
219,2026-06-23,2549,synthetic
219,2026-06-24,2329,synthetic
219,2026-06-25,2467,synthetic
219,2026-06-26,4154,synthetic
219,2026-06-27,1173,synthetic
219,2026-06-28,449,synthetic
219,2026-06-29,3188,synthetic
219,2026-06-30,2288,synthetic
