stop_id,stop_name,zone_id,stop_lat,stop_lon,stop_desc
viDlsUWZ,Engine Bowli,Engine Bowli,17.3365662237586,78.4679501198833,ENGINE BOWLI twd Afzalgunj
8YMIlyS3,Falaknuma Depot,Falaknuma Depot,17.33722755207997,78.46702500165038,FALAKNUMA Bus Depot
W4vA60DC,Sarojini Devi Hospital,Sarojini Devi Hospital,17.398719,78.444326,SAROJINI DEVI Hospital twd Koti
VKioR5jw,Nmdc,Nmdc,17.398961480216787,78.44955235719682,NMDC twd Uppal
m9io71dj,Masab Tank,Masab Tank,17.40426080475889,78.45190465450288,MASAB Tank twd Jublee Hills
qo0aajne,Pension Office,Pension Office,17.4074738361027,78.4510845331515,PENSION OFFICE twd Panjagutta
0UenuDJ9,Care Hospital-Banjara Hills,Care Hospital-Banjara Hills,17.41362673174932,78.45043346346029,CARE Hospital twd Secunderabad
ppmUDuzH,Banjarahills Road No 7,Banjarahills Road No 7,17.416806784117313,78.4487932920456,BANJARA HILLS Road no 7 Taj Krishna twd Punjagutta
cz4pE5ER,Gvk Mall,Gvk Mall,17.418730990367045,78.44810396432878,G.V.K. twd Ameerpet
ueRNhDvS,Nims Hospital,Nims Hospital,17.421953360823977,78.4491151571274,NIMS Hospital twd Uppal
knSGAN1e,Punjagutta,Punjagutta,17.426621038973163,78.45111072063447,PANJAGUTA twd Secunderabad
V9ddvO25,Green Land,Green Land,17.430726989897867,78.45590785145761,GREENLAND twd Begumpet
qRKZzfuC,Rj College,Rj College,17.435037698134607,78.45528691882602,RJ COLLEGE twd Secunderbad
vmdvxAEq,Hps Begumpet,Hps Begumpet,17.4427992466057,78.4588914737105,BEGUMPET HPS twd Secunderabad
sNtT8ZDC,Shyamlal Begumpet,Shyamlal Begumpet,17.444383,78.461112,SHYAMLAL twd Secunderabad
GjAAZkb2,Shoppers Stop Begumpet,Shoppers Stop Begumpet,17.44512231917755,78.465001887711,SHOPPERS STOP twd Secunderabad
Q6FWRb1R,Prakash Nagar Begumpet,Prakash Nagar Begumpet,17.444306095337662,78.47153045015418,PRAKASH Nagar twd Secunderabad
joW0g0Qq,Police Lines,Police Lines,17.443691,78.478073,POLICE LINE twd Secunderabad
Cmq2kMFs,Wesley College,Wesley College,17.44347191151179,78.48205268785652,WESLEY COLLEGE twd Sec-bad
PwJCFyTq,Paradise,Paradise,17.443494936781793,78.48664998976962,PARADISE METRO STN twd Secunderabad
KIkHjkpt,Plaza,Plaza,17.44330305239693,78.49065722513043,PLAZA twd Secunderabad
X0STVNy1,Patny,Patny,17.44318275884649,78.49624693393709,PATNY twd Secunderabad
QeBJG7EM,Secunderabad,Secunderabad,17.442947325300093,78.50370883941652,ST ANNS twd Rathifile bus station
TaPAXfJn,Sangeeth-Isckon,Sangeeth-Isckon,17.441167630338985,78.50563600890398,SANGEETH Cross Road twd Chilkalguda
whMygxc9,Secunderabad,Secunderabad,17.4371305954537,78.5051479719086,BLUESEA CAFE twd Tarnaka
G7Crwnuu,Chilkalguda,Chilkalguda,17.433305252319077,78.50677192143513,CHILKALGUDA twd Uppal
HxjRAjhe,Alugadda Bhavi,Alugadda Bhavi,17.435588,78.514285,ALUGADDABAVI twd Uppal
UXUFKwWS,Mettuguda,Mettuguda,17.434563,78.520907,METTUGUDA twd Uppal
are2VdTm,Tarnaka,Tarnaka,17.425805944766314,78.5327196118636,TARNAKA twd Yadagirigutta
8w1CBdo1,Habsiguda,Habsiguda,17.421297376185333,78.53977583351977,HABSIGUDA twd Uppal
jtlvGReR,Hmt Nagar,Hmt Nagar,17.42443969,78.54731418,HMT NAGAR twd Mallapur
vuGTfEKr,Nacharam,Nacharam,17.428082172907658,78.55094254199886,NACHARAM Village twd Mallapur
2b3B8JFF,Esi Hospital Nacharam,Esi Hospital Nacharam,17.43094713,78.55324522,NACHARAM ESI HOSPITAL twd Mallapur
hjFi7eQB,Nacharam X Road,Nacharam X Road,17.43363562648746,78.55445891494266,NACHARAM X RD twd Chengicherla
U3ikAqGd,Delhi Tubes Nacharam,Delhi Tubes Nacharam,17.438300227071,78.5583394443616,DELHI Tubes twd Mallapur
LwrbPeVu,Janapriya - Mallapur,Janapriya - Mallapur,17.44177321774534,78.56528164877854,JANAPRIYA twd ECIL
S6LmWE5N,Mallapur Village,Mallapur Village,17.4454882815445,78.56740593910219,MALLAPUR BUS STOP twd Ecil
YMEKiiCq,Noma Function Hall,Noma Function Hall,17.44719501610695,78.57199788093568,NOMA twd Chengicharla
ko9Sd2Em,Nfc X Roads,Nfc X Roads,17.448470578656217,78.57579454779625,NFC X ROADS twd Cherlapally
pLgbAwvD,Ashoknagar-Mallapur,Ashoknagar-Mallapur,17.450004551048462,78.58082905567282,ASHOK NAGAR twd ECIL
9mgpyHL4,Hcl,Hcl,17.45555446179154,78.5817369951529,HCL X Road twd Cherlapally
giCRzBi8,Ecil Gate,Ecil Gate,17.467405969913383,78.57388615792333,ECIL Factory twd Mallapur
Q2XxpKE2,Kushaiguda,Kushaiguda,17.480318357777065,78.57501536607744,KUSHAIGUDA twd Ghatkesar
3a2eLPl2,Nagarjuna Nagar Clny,Nagarjuna Nagar Clny,17.4801444,78.58167026,NAGARJUNA Nagar twd Nagaram
GTRQRJwL,Cherlapally Railway Station,Cherlapally Railway Station,17.45904064597108,78.60438824797338,CHERLAPALLY Railway Station twd Cherlapally
suDhrwkI,Cherlapally,Cherlapally,17.463285244066995,78.61145450231484,CHERLAPALLY Bus Stand
noE4riD7,Cherlapally Railway Station,Cherlapally Railway Station,17.459302896666948,78.60471278082488,CHERLAPALLY Railway Station twd Mallapur
0NDQJIGP,Chakripuram,Chakripuram,17.479200364671826,78.58546793460847,CHAKRIPURAM twd Secunderabad
fUjweVGF,Nagarjuna Nagar Clny,Nagarjuna Nagar Clny,17.47988472,78.58190194,NAGARJUNA Nagar twd Secunderabad
vQw0DmF3,Kushaiguda,Kushaiguda,17.48034395,78.57518468,KUSHAIGUDA twd Secunderabad
x7w566Y0,Delhi Tubes Nacharam,Delhi Tubes Nacharam,17.4380993820983,78.558230994496,DELHI Tubes twd Nacharam
KXSa7N9r,Hmt Nagar,Hmt Nagar,17.424028790241262,78.54717135429384,HMT NAGAR twd Tarnaka
Vu61jLWF,Habsiguda,Habsiguda,17.421528,78.538962,HABSIGUDA twd Tarnaka
jyBSJxcj,Tarnaka,Tarnaka,17.42570613900953,78.53222742494877,TARNAKA twd Secunderabad
7kbuoXmo,Mettuguda,Mettuguda,17.4362017151634,78.5206600651144,METTUGUDA twd Secunderabad railway station
V2FZzv9s,Alugadda Bhavi,Alugadda Bhavi,17.435314131088564,78.51438403488962,ALUGADDA BHAVI twd JBS
CFbXbiQw,Chilkalguda,Chilkalguda,17.43306214811975,78.50638295273589,CHILKALGUDA X Road twd Secunderabad
u3bvsFOc,Secunderabad,Secunderabad,17.434259,78.501577,SECUNDERABAD Railway Station
ok41NPb5,Patny,Patny,17.442960075099442,78.49667340517045,PATNY twd Begumpet
YPoQZzru,Plaza,Plaza,17.443204621664965,78.49011942051914,PLAZA twd Begumpet
GVLWcO80,Paradise,Paradise,17.44314095057875,78.48621763401826,PARADISE Metro Station twd Begumpet
C5RkuVFZ,Wesley College,Wesley College,17.443347223031,78.48193144196273,WESLEY COLLEGE twd Begumpet
jwo9ywmN,Police Lines,Police Lines,17.44365106196432,78.47499310970305,POLICE LINES twd Ameerpet
b6Ed1APh,Prakash Nagar Begumpet,Prakash Nagar Begumpet,17.443991837055457,78.47139358520509,PRAKASH Nagar twd Begumpet
xjTl0c9a,Shoppers Stop Begumpet,Shoppers Stop Begumpet,17.4448396158677,78.4649043157696,SHOPPER STOP twd Ameerpet
0QXQxf3w,Shyamlal Begumpet,Shyamlal Begumpet,17.44420961951012,78.46172824501993,SHYAMLAL  BANGLA twd Ameerpet
vICEAYpg,Hps Begumpet,Hps Begumpet,17.442554874152,78.4592780470848,BEGUMPET HPS twd Ameerpet
KgDSpIOK,Rj College,Rj College,17.434999401680997,78.4555792589056,RJ COLLEGE twd Panjagutta
AWE6D07a,Punjagutta,Punjagutta,17.426452245960245,78.45141112804414,PUNJAGUTTA twd Mehdipatnam
2GQGAQJB,Nims Hospital,Nims Hospital,17.421459243849505,78.44896227121355,NIMS twd Mehdipatnam
MCux42LE,Gvk Mall,Gvk Mall,17.41794804379372,78.44901859925332,GVK MALL twd Koti
sIoTCd6R,Banjarahills Road No 7,Banjarahills Road No 7,17.416331831970556,78.4489354512987,BANJARA HILLS Road no 7 Taj Krishna twd Mehdipatnam
A3gmwwj9,Care Hospital-Banjara Hills,Care Hospital-Banjara Hills,17.413632810042,78.4506118297576,CARE Hospital twd RGIA
0EWpgffm,Pension Office,Pension Office,17.40788488643572,78.45115899336824,PENSION OFFICE twd Mehdipatnam
wPpbiQd0,Masab Tank,Masab Tank,17.404163578171367,78.45224529504777,MASAB TANK twd Lakdikapul
xLkxr76E,Nmdc,Nmdc,17.398778406631845,78.44944775104524,NMDC twd Mehdipatnam
gV9iNXAG,Sarojini Devi Hospital,Sarojini Devi Hospital,17.398543037738683,78.44446688890459,SAROJINI DEVI HOSPITAL twd Lingampally
BJCimp4m,Mehdipatnam,Mehdipatnam,17.3944638148,78.4394866005,MEHDIPATNAM
2ZWzuUTZ,Tippu Khan Bridge,Tippu Khan Bridge,17.37339446398915,78.40440270951166,TIPPU KHAN twd Shankarpally
jsSYaRZ9,Ramdev Guda,Ramdev Guda,17.375237328424227,78.39603963221296,RAMDEVGUDA twd Shankerpally
n1MXMQMq,Age Bar,Age Bar,17.376563943836253,78.38581837700278,AGE BAR  twd Narsingi
Pm13hpJV,Ibrahim Bagh,Ibrahim Bagh,17.37671497160438,78.38191777467728,IBRAHIM BAGH twd Narsing
DJ1vRbAq,Taramathi,Taramathi,17.376788559802506,78.37891370141307,TARAMATHI twd Shankarpally
4gvSfGeB,Neknapur,Neknapur,17.378945180549202,78.36991489015512,NEKNAPUR twd Shankarpally
kPZTFaTS,Hanuman Temple,Hanuman Temple,17.381,78.367,HANUMAN TEMPLE twd Shankarpally
iGveCYEN,Kokapet X Rd,Kokapet X Rd,17.387619,78.341096,KOKAPET X ROAD twd ICFAI
7SoNNXKp,Grape Garden,Grape Garden,17.386822689078894,78.33802878828043,GRAPED GARDEN twd Khanpur
sFWHBI1O,Gandipet X Road,Gandipet X Road,17.385,78.331,GANDIPET X ROAD  twd Shankarpally
fh2ezkIf,Cbit,Cbit,17.3935355900935,78.32022428512572,CBIT twd Shankarpalli
2StGQPKr,Mile Stone,Mile Stone,17.39624969582202,78.31107795196874,CBIT HOSTEL twd Shankerpalli
R37p0OO9,Khanapur,Khanapur,17.397,78.302,KHANAPUR twd Mokila
pqdPrHsX,Miyakhan Gadda,Miyakhan Gadda,17.404933924462746,78.28495591921818,MIYAKHAN GADDA twd Ibs
ouE3tJiF,Janwada X Road,Janwada X Road,17.412737371514822,78.26676517953918,JANWADA X ROAD twd Ibs
VRc2v6Sq,Kollur X Road,Kollur X Road,17.417773993099914,78.24990481229281,KOLLUR X ROAD twd Mokila
B2E1U0Po,Dontapally,Dontapally,17.41855584065186,78.224317859737,DONTHANAPALLY X ROADtwd Shankarpally
Bots9uZJ,Indian Business School ( Ibs ),Indian Business School ( Ibs ),17.41892564435208,78.2169377809786,IBS twd Shankarpally
bSu8VLLo,Proddutur X Roads,Proddutur X Roads,17.422,78.21,PRODDUTUR X ROAD twd Shankarpally
1EbmKtfx,Mokila Bus Stop,Mokila Bus Stop,17.4319921696537,78.1897559389472,MOKILA twd Shankarpalli
pzXN1H4j,Bulkapur,Bulkapur,17.444802512633093,78.15878748893739,BULKAPUR twd Shankarpally
4XkSMGtG,Bhanur X Road,Bhanur X Road,17.453,78.144,BHANUR X Road twd Shankarpally
UCQMGasG,Shankarpally Bus Station,Shankarpally Bus Station,17.45583,78.13135,SHANKARPALLY Bus Station
0WxpWnzH,Bhanur X Road,Bhanur X Road,17.453334788385956,78.14411982778182,BHANUR X Road twd Mehdipatnam
hiYDONWZ,Bulkapur,Bulkapur,17.444894630995037,78.15888673067094,BULKAPUR twd Mehdipatnam
GzMVZaMe,Mokila,Mokila,17.433466481256,78.1868728995323,MOKILA twd Gandipet
oTBBk3lA,Proddutur X Roads,Proddutur X Roads,17.422314014490137,78.21024298431178,PRODDUTUR X ROAD twd Mehdipatnam
lk3b2qDU,Indian Business School ( Ibs ),Indian Business School ( Ibs ),17.41875993793671,78.21774579591754,IBS twd Mehdipatnam
Io40sLXx,Dontapally,Dontapally,17.41867995299534,78.22393298214146,DONTHANPALLY X ROAD twd Mehdipatnam
ytvCxXFb,Kollur X Road,Kollur X Road,17.41774328150473,78.25076043839934,KOLLUR X ROAD twd Khanapur
ev6wgDXG,Janwada X Road,Janwada X Road,17.412814152597296,78.26687514904219,JANWADA X ROAD twd Narsing
oFhCBRcF,Miyakhan Gadda,Miyakhan Gadda,17.405,78.286,MIYAKHAN GADDA twd Khanapur
hYWlKusT,Khanapur,Khanapur,17.397296517412794,78.30198258177154,KHANAPUR twd Narsing
qNee7vZl,Mile Stone,Mile Stone,17.39627529354781,78.31159830379545,CBIT HOSTEL twd Mehdipatnam
3Z4AuAHK,Cbit,Cbit,17.393674882929943,78.32026720411199,CBIT twd Mehdipatnam
SRmJE3Ta,Gandipet X Road,Gandipet X Road,17.386,78.331,GANDIPET X ROAD  twd Ramdev guda
bakKI0au,Grape Garden,Grape Garden,17.387,78.338,GRAPES GARDEN twd Langer House
EhRIzJx4,Kokapet X Rd,Kokapet X Rd,17.388022,78.341466,KOKAPET X ROAD twd Uppal
Pm5Rl4ZJ,Narsingi X Roads,Narsingi X Roads,17.3854635080172,78.355480581522,MANCHIREVULA X ROAD twd Mehdipatnam
1SdlIEjc,Hanuman Temple,Hanuman Temple,17.38024426637546,78.36837797990209,HANUMAN TEMPLE twd Mehdipatnam
JXAl0tDW,Neknapur,Neknapur,17.379,78.37,NEKNAPUR twd Mehdiptnam
YEipNxZK,Taramathi,Taramathi,17.376898634349697,78.3789338177856,TARAMATHI twd Mehdipatnam
mFHd1TsQ,Ibrahim Bagh,Ibrahim Bagh,17.3768448816577,78.38185611676433,IBRAHIM BAGH twd Mehdiptnam
YLvpA2j1,Age Bar,Age Bar,17.376663136054777,78.38585861028857,AGE BAR twd Mehidipatnam
PlLbsGM1,Ramdev Guda,Ramdev Guda,17.375122190463077,78.39702129343203,RAMDEVGUDA twd Mehdiptnam
JfIOK0oA,Tippu Khan Bridge,Tippu Khan Bridge,17.373358417062825,78.40511351714547,TIPPU KHAN twd MP
uA8YdKKq,Narsingi X Roads,Narsingi X Roads,17.3853137697208,78.35566498381479,MANCHIREVULA X Road twd Gandipet
VXQBI5es,Narsinghi,Narsinghi,17.385652880449932,78.35448950529099,NARSINGI
pJbQlUdV,Hayathnagar Bus Depot,Hayathnagar Bus Depot,17.326525053827773,78.59324097901651,HAYATNAGAR-1 Bus Depot
2uOlQMbc,Hayathnagar Bus Depot,Hayathnagar Bus Depot,17.33011503042731,78.59437286848586,HAYATH Nagar Depot twd Hayath nagar
9TGZiwiy,Rtc Colony-Hyt,Rtc Colony-Hyt,17.328654,78.598786,RTC Colony twd Hayatnagar
BsjNAyiG,Hayathnagar,Hayathnagar,17.327319938482045,78.60489331287081,HAYATHNAGAR Bus Station
qQ2eggZ4,Hayathnagar,Hayathnagar,17.32707761,78.60373244,HAYATHNAGAR twd LBNagar
jIGnqtq6,Rtc Colony Upl,Rtc Colony Upl,17.328056,78.599494,RTC COLONY twd DSNR
g3CVmJk7,Hayathnagar Bus Depot,Hayathnagar Bus Depot,17.329992177727636,78.59393297723564,HAYATH Nagar Depot twd Dilshuknagar
nib1nnsj,Bhagyalatha (Arunodaya),Bhagyalatha (Arunodaya),17.332316941353337,78.58912646770477,BHAGYALATHA twd Raithu bazar
